neighbourhood,minx,miny,maxx,maxy,center_lon,center_lat
Gandra,-8.458393,41.170404,-8.404178,41.214589,-8.4312855,41.1924965
Matosinhos e Leça da Palmeira,-8.717224,41.17149,-8.664461,41.215427,-8.690842499999999,41.1934585
Vandoma,-8.412855,41.182899,-8.378264,41.216795,-8.395559500000001,41.199847
Lamelas e Guimarei,-8.51116,41.269679,-8.463958,41.316154,-8.487559000000001,41.2929165
Covelas,-8.56691,41.278169,-8.507625,41.321642,-8.5372675,41.299905499999994
Valongo,-8.529775,41.140764,-8.466318,41.224369,-8.498046500000001,41.1825665
Milheirós,-8.601965,41.205598,-8.571802,41.230661,-8.586883499999999,41.2181295
Rebordosa,-8.44683,41.198876,-8.383687,41.232644,-8.4152585,41.21576
Ermesinde,-8.570727,41.196265,-8.523339,41.240391,-8.547032999999999,41.218328
Louredo,-8.360101,41.229517,-8.328179,41.251865,-8.34414,41.240691
Beire,-8.334815,41.233243,-8.30785,41.256493,-8.3213325,41.244868
Lordelo,-8.450554,41.221292,-8.396278,41.25717,-8.423416,41.239231000000004
Vilela,-8.399409,41.230241,-8.362451,41.257962,-8.38093,41.2441015
São Pedro Fins,-8.568512,41.233703,-8.532274,41.258503,-8.550393,41.246103
Sobrosa,-8.372221,41.237747,-8.334815,41.259771,-8.353518000000001,41.248759
Moreira,-8.672382,41.222722,-8.628414,41.261033,-8.650398,41.2418775
Vila Nova da Telha,-8.693984,41.234125,-8.658085,41.262436,-8.6760345,41.2482805
Nogueira e Silva Escura,-8.598839,41.224411,-8.566662,41.267933,-8.5827505,41.246172
Mindelo,-8.742502,41.302847,-8.697213,41.326588,-8.7198575,41.3147175
Alfena,-8.544008,41.210001,-8.485384,41.269025,-8.514696,41.239513
Folgosa,-8.567974,41.230962,-8.515264,41.286535,-8.541619,41.258748499999996
Reguenga,-8.470333,41.262028,-8.429272,41.28689,-8.4498025,41.274459
Labruge,-8.732638,41.268796,-8.693298,41.291702,-8.712968,41.280249
Água Longa,-8.51985,41.23807,-8.476075,41.292803,-8.4979625,41.2654365
Castêlo da Maia,-8.653932,41.242982,-8.579574,41.295369,-8.616753,41.2691755
Vilar e Mosteiró,-8.699107,41.273479,-8.635415,41.295526,-8.667261,41.2845025
Coronado (São Romão e São Mamede),-8.592178,41.258299,-8.538843,41.302727,-8.5655105,41.280513
Fajozes,-8.722091,41.306593,-8.683599,41.336402,-8.702845,41.3214975
Modivas,-8.708175,41.282922,-8.673099,41.306815,-8.690637,41.2948685
Vila Chã,-8.739523,41.285153,-8.706283,41.307643,-8.722903,41.296397999999996
Muro,-8.608313,41.280388,-8.570129,41.311082,-8.589221,41.295735
Guilhabreu,-8.662923,41.279248,-8.621772,41.312077,-8.6423475,41.295662500000006
Carreira e Refojos de Riba de Ave,-8.482585,41.280707,-8.42218,41.314094,-8.4523825,41.297400499999995
Malta e Canidelo,-8.674697,41.293233,-8.630931,41.322521,-8.652814,41.307877000000005
Gião,-8.697524,41.298808,-8.659176,41.323938,-8.67835,41.311373
Monte Córdova,-8.470906,41.301421,-8.391838,41.339603,-8.431372,41.320511999999994
Alvarelhos e Guidões,-8.634488,41.290557,-8.590159,41.342496,-8.612323499999999,41.316526499999995
Bougado (São Martinho e Santiago),-8.616927,41.301859,-8.506175,41.347858,-8.561551000000001,41.324858500000005
Árvore,-8.739838,41.322928,-8.691541,41.349811,-8.7156895,41.3363695
Fornelo e Vairão,-8.687526,41.315264,-8.621988,41.350943,-8.654757,41.3331035
Macieira da Maia,-8.697624,41.332911,-8.644386,41.354963,-8.671005000000001,41.343937
Azurara,-8.748071,41.332352,-8.727481,41.356174,-8.737776,41.344263
"St. Tirso, Couto (S. Cristina e S. Miguel) e Burgães",-8.516177,41.310946,-8.419122,41.358185,-8.4676495,41.3345655
Negrelos (São Tomé),-8.418338,41.329164,-8.389392,41.363206,-8.403865,41.346185
Rebordões,-8.448556,41.337446,-8.416497,41.363466,-8.4325265,41.350456
Roriz,-8.394793,41.332422,-8.357319,41.366556,-8.376056,41.349489000000005
Vila Nova do Campo,-8.383286,41.333694,-8.32824,41.369583,-8.355763,41.3516385
Retorta e Tougues,-8.728805,41.342974,-8.685143,41.37049,-8.706973999999999,41.356731999999994
Vila do Conde,-8.767961,41.336577,-8.723783,41.373955,-8.745871999999999,41.355266
"Areias, Sequeiró, Lama e Palmeira",-8.517335,41.349599,-8.440636,41.375626,-8.4789855,41.3626125
Vilarinho,-8.349706,41.34144,-8.31645,41.377033,-8.333078,41.359236499999994
Aves,-8.432422,41.355951,-8.384339,41.384289,-8.4083805,41.37012
"Bagunte, Ferreiró, Outeiro Maior e Parada",-8.694159,41.335837,-8.610624,41.392711,-8.6523915,41.364273999999995
Junqueira,-8.700063,41.365202,-8.659612,41.395056,-8.6798375,41.380129
Touguinha e Touguinhó,-8.730304,41.362748,-8.692003,41.40175,-8.7111535,41.382249
"Póvoa de Varzim, Beiriz e Argivai",-8.775427,41.364571,-8.709799,41.406746,-8.742613,41.3856585
Balazar,-8.656428,41.382736,-8.590647,41.4194,-8.623537500000001,41.401068
Rio Mau e Arcos,-8.715822,41.383629,-8.638106,41.425709,-8.676964,41.404669
"AVer-o-Mar, Amorim e Terroso",-8.789063,41.389254,-8.702061,41.432512,-8.745562,41.410883
Aguçadoura e Navais,-8.789006,41.415529,-8.745535,41.446032,-8.7672705,41.4307805
Rates,-8.709165,41.407517,-8.649332,41.449162,-8.6792485,41.4283395
Laundos,-8.744558,41.421563,-8.700679,41.455519,-8.7226185,41.438541
Estela,-8.779522,41.430489,-8.731902,41.471971,-8.755711999999999,41.45123
