,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,guests_included,new_price
3388156,38876423,2020-03-09,f,17.0,17.0,29.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15314,-8.60437,2,1.0,1.0,1.0,0.0,20.0,0.0,1.0,2.833213344056216
3388510,39020134,2020-03-09,t,40.0,40.0,30.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14563,-8.60629,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.688879454113936
3388555,38877089,2020-03-09,f,64.0,64.0,2.0,310.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15169,-8.60563,7,1.0,2.0,3.0,0.0,0.0,0.0,1.0,4.158883083359672
3388910,38358011,2020-03-09,t,30.0,30.0,1.0,1125.0,Labruge,VILA DO CONDE,41.27634,-8.7152,2,1.0,0.0,1.0,0.0,5.0,0.0,1.0,3.4011973816621555
3389260,39021448,2020-03-09,f,64.0,64.0,2.0,210.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14831,-8.60488,8,3.0,3.0,4.0,0.0,69.0,10.0,5.0,4.158883083359672
3389617,38367031,2020-03-09,t,68.0,68.0,3.0,31.0,Foz do Sousa e Covelo,GONDOMAR,41.07682,-8.4947,6,1.0,2.0,2.0,0.0,35.0,12.0,2.0,4.219507705176107
3389968,38891484,2020-03-09,t,38.0,38.0,1.0,1125.0,Campanhã,PORTO,41.14928,-8.58285,2,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.6375861597263857
3390146,39022521,2020-03-09,t,126.0,126.0,1.0,31.0,Santa Marinha e São Pedro da Afurada,VILA NOVA DE GAIA,41.13614,-8.60528,9,2.0,4.0,6.0,0.0,35.0,0.0,1.0,4.836281906951478
3390498,38369586,2020-03-09,t,58.0,58.0,3.0,31.0,Foz do Sousa e Covelo,GONDOMAR,41.07682,-8.4947,2,1.0,1.0,1.0,0.0,30.0,12.0,2.0,4.060443010546419
3390848,38893449,2020-03-09,f,38.0,38.0,1.0,15.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14982,-8.61572,4,1.0,2.0,2.0,0.0,20.0,10.0,2.0,3.6375861597263857
3391209,39022891,2020-03-09,t,25.0,25.0,1.0,30.0,Matosinhos e Leça da Palmeira,MATOSINHOS,41.18124,-8.67062,2,1.0,1.0,0.0,0.0,6.0,0.0,1.0,3.218875824868201
3391527,39031873,2020-03-09,t,55.0,55.0,3.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14468,-8.60579,4,1.0,2.0,3.0,200.0,25.0,10.0,2.0,4.007333185232471
3391880,38896577,2020-03-09,t,95.0,95.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.1601,-8.63183,6,1.0,3.0,5.0,0.0,40.0,20.0,4.0,4.553876891600541
3392234,38369673,2020-03-09,t,30.0,30.0,2.0,1125.0,Paranhos,PORTO,41.16996,-8.61087,2,1.0,1.0,1.0,0.0,17.0,0.0,1.0,3.4011973816621555
3392588,39043346,2020-03-09,f,60.0,60.0,2.0,210.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14898,-8.60382,7,2.0,2.0,5.0,0.0,49.0,9.0,5.0,4.0943445622221
3392943,39051151,2020-03-09,f,55.0,55.0,2.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.16077,-8.62542,4,1.0,0.0,2.0,0.0,0.0,20.0,2.0,4.007333185232471
3393023,38901144,2020-03-09,t,38.0,38.0,1.0,1125.0,Campanhã,PORTO,41.15094,-8.58244,2,3.0,1.0,2.0,0.0,0.0,0.0,1.0,3.6375861597263857
3393201,38370653,2020-03-09,t,150.0,150.0,3.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.16391,-8.61033,8,1.0,4.0,4.0,0.0,25.0,0.0,8.0,5.010635294096256
3393557,39051556,2020-03-09,t,84.0,84.0,2.0,1125.0,Louredo,PAREDES,41.23523,-8.34401,4,1.0,1.0,3.0,0.0,0.0,25.0,2.0,4.430816798843313
3393906,38901528,2020-03-09,t,38.0,38.0,1.0,1125.0,Campanhã,PORTO,41.15105,-8.58429,2,3.0,1.0,2.0,0.0,0.0,0.0,1.0,3.6375861597263857
3394085,38384779,2020-03-09,t,70.0,70.0,5.0,1125.0,"Póvoa de Varzim, Beiriz e Argivai",PÓVOA DE VARZIM,41.38893,-8.77319,6,2.0,3.0,4.0,0.0,0.0,0.0,1.0,4.248495242049359
3394434,39052118,2020-03-09,t,84.0,84.0,2.0,1125.0,Louredo,PAREDES,41.23691,-8.34386,4,1.0,1.0,4.0,0.0,0.0,25.0,2.0,4.430816798843313
3394785,38385112,2020-03-09,t,500.0,500.0,2.0,1125.0,Lordelo do Ouro e Massarelos,PORTO,41.15039,-8.65101,4,1.0,1.0,2.0,0.0,25.0,10.0,2.0,6.214608098422191
3395139,38901719,2020-03-09,t,29.0,29.0,1.0,1125.0,Campanhã,PORTO,41.14934,-8.58299,1,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.367295829986474
3395318,39052626,2020-03-09,f,55.0,50.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15413,-8.60926,6,1.0,2.0,4.0,0.0,40.0,0.0,4.0,4.007333185232471
3395541,38392659,2020-03-09,t,30.0,30.0,2.0,1125.0,"Aldoar, Foz do Douro e Nevogilde",PORTO,41.15121,-8.66887,4,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.4011973816621555
3395895,38395071,2020-03-09,f,53.0,53.0,3.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14407,-8.60369,3,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.970291913552122
3396248,39052729,2020-03-09,t,74.0,74.0,2.0,1125.0,Louredo,PAREDES,41.23713,-8.34566,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.30406509320417
3396599,38901913,2020-03-09,t,38.0,38.0,1.0,1125.0,Campanhã,PORTO,41.15065,-8.5829,2,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.6375861597263857
3396777,39053354,2020-03-09,t,74.0,74.0,2.0,1125.0,Louredo,PAREDES,41.2365,-8.34433,2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.30406509320417
3397128,38399487,2020-03-09,t,79.0,79.0,2.0,1125.0,Anta e Guetim,ESPINHO,41.00925,-8.63301,5,1.0,1.0,5.0,800.0,10.0,0.0,1.0,4.3694478524670215
3397478,38902644,2020-03-09,t,29.0,29.0,1.0,1125.0,Campanhã,PORTO,41.14945,-8.58327,1,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.367295829986474
3397688,39053873,2020-03-09,t,70.0,70.0,2.0,1125.0,Espinho,ESPINHO,41.0076,-8.64358,4,1.0,1.0,3.0,0.0,0.0,10.0,2.0,4.248495242049359
3397700,39061127,2020-03-09,t,85.0,85.0,1.0,1125.0,"Aldoar, Foz do Douro e Nevogilde",PORTO,41.14758,-8.66737,4,1.0,0.0,2.0,1000.0,30.0,5.0,2.0,4.442651256490317
3398052,38903378,2020-03-09,t,49.0,49.0,1.0,31.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14341,-8.61801,3,1.0,1.0,2.0,200.0,25.0,12.0,2.0,3.8918202981106265
3398406,39070028,2020-03-09,f,66.0,66.0,2.0,1125.0,Ramalde,PORTO,41.164,-8.63344,4,1.0,2.0,2.0,0.0,20.0,5.0,2.0,4.189654742026425
3398761,38403574,2020-03-09,t,109.0,109.0,1.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14539,-8.6199,3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.691347882229144
3399115,38916980,2020-03-09,f,15.0,15.0,3.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15936,-8.60667,2,1.0,1.0,0.0,0.0,8.0,6.0,1.0,2.70805020110221
3399393,39203098,2020-03-09,f,68.0,68.0,2.0,30.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14917,-8.62003,4,1.0,1.0,2.0,200.0,0.0,14.0,2.0,4.219507705176107
3399695,39072408,2020-03-09,t,34.0,34.0,2.0,1125.0,Bonfim,PORTO,41.15689,-8.59188,4,1.0,1.0,1.0,0.0,15.0,0.0,1.0,3.5263605246161616
3399920,39209442,2020-03-09,t,42.0,42.0,2.0,1125.0,Mafamude e Vilar do Paraíso,VILA NOVA DE GAIA,41.12561,-8.59996,4,2.0,2.0,2.0,0.0,35.0,10.0,4.0,3.737669618283368
3400107,38406206,2020-03-09,f,75.0,75.0,2.0,999.0,Bonfim,PORTO,41.14902,-8.60055,2,1.0,1.0,1.0,200.0,30.0,0.0,1.0,4.31748811353631
3400463,39079621,2020-03-09,f,31.0,31.0,2.0,1125.0,Mafamude e Vilar do Paraíso,VILA NOVA DE GAIA,41.11896,-8.60797,4,1.0,2.0,2.0,0.0,30.0,0.0,1.0,3.4339872044851463
3400508,39080375,2020-03-09,t,50.0,50.0,2.0,30.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15129,-8.60782,2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.912023005428146
3400862,39211521,2020-03-09,t,42.0,42.0,2.0,1125.0,Matosinhos e Leça da Palmeira,MATOSINHOS,41.19508,-8.69124,4,1.0,1.0,2.0,0.0,30.0,10.0,2.0,3.737669618283368
3401061,39212480,2020-03-09,f,40.0,40.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.1539,-8.61124,4,1.0,1.0,1.0,0.0,25.0,10.0,2.0,3.688879454113936
3401416,39217153,2020-03-09,f,35.0,35.0,5.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.16113,-8.60416,2,1.0,1.0,1.0,0.0,25.0,0.0,1.0,3.555348061489413
3401746,39082328,2020-03-09,f,54.0,54.0,2.0,31.0,Mafamude e Vilar do Paraíso,VILA NOVA DE GAIA,41.12406,-8.60758,3,1.0,1.0,1.0,150.0,0.0,5.0,1.0,3.9889840465642745
3402098,39221787,2020-03-09,f,42.0,42.0,1.0,31.0,Mafamude e Vilar do Paraíso,VILA NOVA DE GAIA,41.12319,-8.60858,2,1.0,1.0,1.0,0.0,0.0,5.0,1.0,3.737669618283368
3402449,39222235,2020-03-09,t,48.0,48.0,2.0,31.0,Mafamude e Vilar do Paraíso,VILA NOVA DE GAIA,41.12285,-8.6092,2,1.0,1.0,0.0,0.0,0.0,5.0,1.0,3.871201010907891
3402802,39094887,2020-03-09,t,44.0,44.0,2.0,1125.0,Mafamude e Vilar do Paraíso,VILA NOVA DE GAIA,41.12306,-8.60285,7,2.0,3.0,2.0,0.0,40.0,10.0,4.0,3.784189633918261
3403104,38406387,2020-03-09,t,98.0,98.0,2.0,15.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15037,-8.6148,6,1.0,2.0,3.0,0.0,30.0,30.0,6.0,4.584967478670572
3403467,39095636,2020-03-09,t,32.0,32.0,2.0,270.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15692,-8.60914,3,1.0,1.0,2.0,200.0,20.0,10.0,2.0,3.4657359027997265
3403604,39222457,2020-03-09,f,42.0,42.0,2.0,31.0,Mafamude e Vilar do Paraíso,VILA NOVA DE GAIA,41.12512,-8.60743,2,1.0,1.0,1.0,0.0,0.0,5.0,1.0,3.737669618283368
3403957,39226932,2020-03-09,f,57.0,57.0,60.0,1125.0,Matosinhos e Leça da Palmeira,MATOSINHOS,41.17981,-8.68333,7,2.0,2.0,3.0,99.0,39.0,5.0,4.0,4.04305126783455
3404126,39099311,2020-03-09,f,42.0,42.0,2.0,365.0,Bonfim,PORTO,41.14399,-8.59677,3,1.0,1.0,2.0,0.0,45.0,15.0,2.0,3.737669618283368
3404476,38412106,2020-03-09,t,220.0,220.0,2.0,45.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15195,-8.61335,10,3.0,4.0,9.0,0.0,0.0,10.0,7.0,5.393627546352362
3404832,39238521,2020-03-09,t,31.0,31.0,2.0,210.0,Campanhã,PORTO,41.1497,-8.58729,5,1.0,2.0,4.0,0.0,39.0,25.0,4.0,3.4339872044851463
3405185,39239151,2020-03-09,f,250.0,250.0,2.0,1125.0,Aguiar de Sousa,PAREDES,41.10719,-8.43011,10,3.0,4.0,9.0,200.0,0.0,0.0,1.0,5.521460917862246
3405321,38413423,2020-03-09,t,40.0,40.0,2.0,1125.0,Santa Marinha e São Pedro da Afurada,VILA NOVA DE GAIA,41.13582,-8.60908,5,1.0,2.0,3.0,0.0,20.0,15.0,1.0,3.688879454113936
3405675,39099587,2020-03-09,t,40.0,40.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14078,-8.61512,4,1.0,1.0,2.0,0.0,37.0,15.0,2.0,3.688879454113936
3406027,39245049,2020-03-09,f,40.0,36.0,1.0,1125.0,Campanhã,PORTO,41.15853,-8.59157,6,1.0,2.0,4.0,0.0,38.0,7.0,4.0,3.688879454113936
3406249,39099774,2020-03-09,f,197.0,197.0,2.0,210.0,Bonfim,PORTO,41.15652,-8.60219,15,5.0,5.0,9.0,0.0,89.0,10.0,11.0,5.2832037287379885
3406603,39245572,2020-03-09,f,37.0,37.0,1.0,15.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14591,-8.60294,4,1.0,1.0,2.0,0.0,15.0,10.0,2.0,3.610917912644224
3406957,38419090,2020-03-09,t,69.0,69.0,2.0,31.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15551,-8.61687,2,1.0,1.0,1.0,100.0,0.0,0.0,1.0,4.23410650459726
3407319,39099948,2020-03-09,t,35.0,35.0,1.0,15.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15439,-8.60841,4,1.0,1.0,2.0,0.0,20.0,10.0,2.0,3.555348061489413
3407599,39247253,2020-03-09,t,45.0,45.0,2.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14328,-8.61241,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.80666248977032
3407961,39101047,2020-03-09,f,42.0,42.0,2.0,365.0,Bonfim,PORTO,41.14486,-8.59705,3,1.0,1.0,2.0,0.0,45.0,15.0,2.0,3.737669618283368
3408314,39263773,2020-03-09,t,42.0,42.0,2.0,1125.0,Campanhã,PORTO,41.14846,-8.58664,2,1.0,0.0,1.0,0.0,25.0,10.0,2.0,3.737669618283368
3408666,39270333,2020-03-09,f,30.0,30.0,30.0,210.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15237,-8.61225,3,1.0,1.0,3.0,0.0,20.0,7.0,2.0,3.4011973816621555
3409022,39101331,2020-03-09,t,171.0,171.0,1.0,1125.0,Bonfim,PORTO,41.15769,-8.60227,6,3.0,2.0,5.0,100.0,0.0,0.0,1.0,5.14166355650266
3409382,38421018,2020-03-09,f,92.0,92.0,2.0,31.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15516,-8.61691,2,1.0,0.0,1.0,100.0,0.0,0.0,1.0,4.5217885770490405
3409738,42225781,2020-03-09,t,79.0,79.0,2.0,1125.0,Lordelo do Ouro e Massarelos,PORTO,41.1581,-8.63534,3,1.0,0.0,1.0,250.0,25.0,5.0,2.0,4.3694478524670215
