neighbourhood_cleansed,listing_id,price,adjusted_price,minimum_nights,maximum_nights,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,guests_included,new_price
Balazar,14519915.65795053,108.27844522968198,108.27844522968198,2.0028268551236748,1115.3533568904593,41.406610303886396,-8.628735067138022,6.993639575971732,2.228268551236749,2.7547703180212015,3.7469964664310953,61.9434628975265,7.413427561837456,11.148409893992932,6.179505300353357,4.133404215541445
Baltar,20034148.55532359,73.72025052192066,73.72025052192066,2.125260960334029,933.1878914405011,41.18665887265154,-8.385834446764111,5.567849686847599,2.2839248434237995,3.7160751565762005,4.2839248434238,0.0,14.19624217118998,2.8392484342379958,1.8517745302713988,4.203174018637138
Bonfim,26548432.51984127,69.77993817116824,69.548986242181,2.8793117474780345,779.6615391221029,41.151283871059945,-8.599055003294103,3.7926135336442854,1.2368229562136168,1.370776385725133,2.1509586180713742,43.42792285858915,16.028767581444118,7.782864645478541,1.9609004953537983,3.9528687193672924
Bougado (São Martinho e Santiago),28847031.37684538,33.83527583527584,33.83527583527584,4.33954933954934,821.8282828282828,41.33801970473987,-8.563977397047596,4.177933177933178,0.9114219114219114,1.641802641802642,2.272727272727273,48.174048174048174,10.271950271950272,2.711732711732712,1.1825951825951826,3.473156802933079
Cabreiros e Albergaria da Serra,31413737.378142077,71.85901639344263,71.85901639344263,1.0,696.0601092896175,40.8628822732243,-8.246698907103754,2.8491803278688526,4.462295081967213,4.696174863387978,6.616393442622951,0.0,0.0,3.814207650273224,1.0,4.252218430817981
Caldas de São Jorge e de Pigeiros,21892767.804161567,58.311505507955935,58.311505507955935,1.934516523867809,968.6933904528764,40.964771689105916,-8.498472362301145,5.001223990208079,1.9290085679314566,2.4694002447980417,3.1756425948592413,21.41982864137087,5.3549571603427175,10.067319461444308,1.2858017135862914,3.9157420911528846
Campanhã,28072349.82772938,64.62446742109691,64.43250834486689,2.3203614752096393,760.7885831365844,41.154384111316425,-8.584958876570273,4.004206355667725,1.3734158321799776,1.5879671090124563,2.5173003337946755,34.966444136882956,13.92187033569432,6.6281852967516075,1.8364948845287525,3.909074790462206
Campo e Sobrado,11238667.986754967,56.033112582781456,56.033112582781456,1.664143803216651,1121.8070009460737,41.18195573320681,-8.468130387890156,4.992431409649953,1.6698202459791864,2.661305581835383,3.338694418164617,164.24787133396404,11.85430463576159,19.981078524124882,2.6594134342478712,4.00063386485424
"Canedo, Vale e Vila Maior",21973912.64667079,580.426097711812,579.0030921459493,2.359101216244073,704.0997732426304,41.01265796743013,-8.45603722943721,5.484642341785199,1.7107812822098536,2.5236033807462377,3.2467532467532467,125.73077715934859,12.404658833230261,17.80251494537209,1.4877344877344878,4.210072383738069
Canelas,24474056.0,24.0,24.0,2.0,1125.0,41.08590000000003,-8.606920000000029,2.0,1.0,1.0,1.0,0.0,0.0,24.0,3.0,3.17805383034794
Canelas e Espiunca,21457234.618097447,129.42088167053365,129.42088167053365,2.139675174013921,1111.1948955916473,40.98661722969878,-8.217532417633608,5.643155452436195,1.503016241299304,2.5438515081206496,3.7136890951276103,41.80974477958237,8.96983758700696,3.2505800464037122,1.7248259860788864,4.697349095602014
Canidelo,23931537.363960028,149.1957452808573,148.18522304668912,2.5465392953451893,779.8163103442198,41.12906609174542,-8.655449971188759,4.7318680931314665,1.3947335953610518,1.74480497735164,2.931226536475316,125.96640640146641,18.14461462537674,11.137617427780814,2.060560128311331,4.186796763993696
Carregosa,37313947.0,131.64623955431756,130.71866295264624,2.9832869080779942,1118.732590529248,40.89785999999963,-8.41372000000001,4.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.848670150585085
Castêlo da Maia,23224761.02388404,43.897710426618346,43.897710426618346,2.951902487234393,765.5173776972492,41.2643016405877,-8.61473169988483,2.838906275737111,1.2016142315928182,1.2567945972656893,2.2989622796903313,53.76379509141822,6.7484763630373905,6.530719815516389,1.8239169823752266,3.6256124054544743
"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",25065373.34624202,77.0901401364001,76.68038090398689,2.6288562418735335,879.2820926305092,41.14986678665032,-8.61224643165915,3.762543278882894,1.1535238351441965,1.2486626513826824,2.1119023777854165,49.57178291561427,15.867170320774362,7.898562767457269,1.8789142791668534,4.058114961029671
Cepelos,22396693.80838894,71.14823641563393,71.14823641563393,2.078646329837941,1013.0262154432793,40.84297735938807,-8.311067187797898,7.767397521448999,2.5510009532888467,2.8836987607244997,5.283126787416587,112.60724499523356,46.73784556720686,12.335557673975215,4.219256434699714,4.113620541992226
Cete,13060336.841617934,148.62183235867445,148.432261208577,3.9307992202729043,562.3684210526316,41.17549668128764,-8.35520754385977,6.866471734892787,2.008771929824561,2.628654970760234,5.322612085769981,159.55165692007796,10.796783625730994,4.692982456140351,3.754385964912281,4.698963881281114
Chave,29352518.45111111,113.25555555555556,113.25555555555556,0.9988888888888889,1123.75,40.90282664444534,-8.36160346666668,4.6,1.0,1.9022222222222223,2.3,0.0,3.977777777777778,5.966666666666667,1.0,4.486450839719697
Cidade da Maia,28366788.088524356,60.61175139645054,60.61175139645054,2.7638407692851588,629.1959273138655,41.23012745527868,-8.617202198260733,3.344198543449056,1.2034928940111715,1.5082372905324188,2.1048575266916494,13.784204199957577,8.475217422046242,5.549459096372764,1.6579226472459874,-inf
Coronado (São Romão e São Mamede),28979716.0831793,56.75415896487985,56.75415896487985,4.232902033271719,402.86506469500927,41.273756136783305,-8.571275360443602,3.297597042513863,1.0,1.6487985212569316,2.297597042513863,0.0,20.0,11.756007393715342,2.946395563770795,3.812724010002047
Covelas,37134951.0,200.0,200.0,2.0,15.0,41.31055000000012,-8.544240000000027,4.0,1.0,2.0,3.0,0.0,20.0,0.0,1.0,5.298317366548012
Cristelo,43323216.0,325.992700729927,325.992700729927,5.649635036496351,1125.0,41.23140000000005,-8.36220000000002,6.0,2.0,3.0,5.0,450.0,0.0,0.0,1.0,5.776865882674863
"Custóias, Leça do Balio e Guifões",23450831.45724667,55.189180460234155,55.16859103754542,4.887444489301575,659.8293903916027,41.2030585312877,-8.643033422688562,3.9178037949132016,1.3892612030682276,1.2813887767460639,2.725151392813888,167.32014533710134,6.543157044812273,5.426160678239806,1.3336293903916028,3.613072064769209
Duas Igrejas,43804582.0,41.15102040816326,41.15102040816326,2.126530612244898,1125.0,41.23847999999999,-8.366119999999965,3.0,1.0,1.0,3.0,0.0,15.0,15.0,3.0,3.7020158015413833
Ermesinde,23695292.257568702,47.07638565440149,46.95132743362832,2.0745225896599906,899.9632044713554,41.212875677689155,-8.55152967396404,3.528644620400559,1.1259897531439218,1.5428504890544947,2.218444340940848,18.898462971588263,7.957615277130881,4.353749417792268,1.8761061946902655,3.6794474886987554
Escariz,25133014.393316194,136.74378748928876,136.74378748928876,1.4284490145672666,683.4995715509855,40.93245831190943,-8.40458988860321,6.514995715509854,1.7000856898029135,2.6083976006855183,3.0025706940874035,114.26735218508998,6.658097686375322,0.0,1.0,4.622896462138325
Espinho,24237198.6172035,73.3685134452217,73.35755512407904,2.690108253318084,835.7389419368567,41.006366700265175,-8.642278656807921,4.061733648961353,1.3658004628028833,1.7725616405564273,2.6216719419102588,46.970103997659386,12.031598265819081,6.0574779902651805,1.7810729579487725,4.159136584412282
Estela,34132003.042889394,37.379232505643344,37.379232505643344,1.440180586907449,929.7291196388262,41.4622882392778,-8.768148148984158,2.0,0.20993227990970656,1.0,1.0,79.00677200902935,11.851015801354402,0.0,1.0,3.580904994162242
Fajozes,29463235.734693877,96.83673469387755,96.83673469387755,2.0,898.265306122449,41.32593979591803,-8.694814081632678,9.63265306122449,0.7959183673469388,2.5918367346938775,7.612244897959184,119.38775510204081,39.795918367346935,11.53061224489796,3.5918367346938775,4.550415387034483
Fermedo,19699660.44604811,199.71512027491409,199.1254295532646,2.686254295532646,425.0962199312715,40.95518973539537,-8.411392718212914,8.429553264604811,4.205841924398626,4.324398625429553,5.475257731958763,0.0,0.0,25.371134020618555,4.127835051546392,5.080720940140104
Fiães,23283635.610846814,100.28544243577545,100.267364414843,1.8116079923882018,1125.0,40.985611294005736,-8.521960313986645,8.331113225499525,3.0,3.666032350142721,4.665080875356803,116.55566127497622,0.0,11.322549952426261,1.6660323501427212,4.317576205341588
Folgosa,8984460.0,279.7210144927536,279.7210144927536,3.858695652173913,1120.9239130434783,41.265760000000185,-8.549099999999994,12.0,4.0,4.0,6.0,350.0,0.0,20.0,8.0,5.632593102012289
Fornelo e Vairão,9004875.0,51.0,51.0,4.5,380.0,41.326040000000646,-8.667954999999967,4.0,1.5,1.5,2.5,150.0,15.0,7.5,3.0,3.8389317503391287
Fornos,20723313.0,40.0,40.0,358.97435897435895,1121.7948717948718,40.90827999999978,-8.534689999999964,4.0,2.0,3.0,3.0,0.0,25.0,0.0,1.0,3.688879454113931
Foz do Sousa e Covelo,20334251.829777908,163.04456458211573,163.04456458211573,2.8997662185856226,640.7570134424313,41.0837617708944,-8.493304384863013,5.749853886616014,1.8609000584453537,2.446522501461134,3.6373465809468146,77.50672121566336,52.49707773232028,22.10549386323787,2.7142022209234367,4.8247850967663535
Fânzeres e São Pedro da Cova,25432081.808289055,42.42061636556854,42.42061636556854,2.8884165781083952,948.1509032943677,41.16170394261358,-8.526338255047344,3.8705632306057387,1.1460148777895856,1.5674814027630182,2.271413390010627,14.261424017003188,9.115196599362381,5.55154091392136,1.8303931987247608,3.6027651852197953
Gandra,26633080.92034314,41.947303921568626,41.947303921568626,1.875,150.62867647058823,41.187600159314144,-8.442914816176629,2.176470588235294,1.9399509803921569,1.625,1.7904411764705883,53.6764705882353,3.5049019607843137,7.022058823529412,0.9705882352941176,3.4297768434250986
Gião,14951437.518518519,141.75555555555556,141.75555555555556,1.8129629629629629,460.8796296296296,41.31280740740724,-8.669275925925975,5.037037037037037,2.6296296296296298,2.2222222222222223,2.814814814814815,0.0,12.222222222222221,22.037037037037038,3.4074074074074074,4.602225713111239
"Gondomar (São Cosme), Valbom e Jovim",28500529.20549564,328.30388535972816,326.9328556655341,4.22551336977397,799.8897178312897,41.13433556802853,-8.559202972373795,4.199069286452947,1.6522381444821983,1.9289407593440686,2.4723001920520016,112.36061456640567,21.967277293544097,10.515216427832767,2.1003841040035454,4.310409306285939
